fq_name,count
androidx.compose.ui.ExperimentalComposeUiApi,58
androidx.compose.ui.window.AwtWindow,2
androidx.compose.ui.window.FrameWindowScope,3
androidx.compose.ui.window.WindowScope,2
kotlinx.coroutines.DelicateCoroutinesApi,46
kotlinx.coroutines.swing.Swing,15
java.awt.FileDialog,2
java.nio.file.Path,550
javax.swing.JOptionPane,2
androidx.compose.material.icons.filled.Description,2
androidx.compose.runtime.staticCompositionLocalOf,23
androidx.compose.ui.graphics.vector.ImageVector,25
androidx.compose.ui.graphics.vector.RenderVectorGroup,2
androidx.compose.ui.graphics.vector.VectorPainter,2
androidx.compose.ui.graphics.vector.rememberVectorPainter,7
androidx.compose.foundation.text.BasicTextField,10
androidx.compose.runtime.LaunchedEffect,106
androidx.compose.runtime.rememberCoroutineScope,38
androidx.compose.ui.window,4
kotlinx.coroutines.flow.collect,251
androidx.compose.ui.window.Notification,4
androidx.compose.ui.window.WindowPlacement,2
kotlinx.coroutines.flow.receiveAsFlow,42
androidx.compose.runtime.key,12
androidx.compose.ui.window.ApplicationScope,2
androidx.compose.ui.window.MenuScope,2
androidx.compose.ui.window.Tray,2
androidx.compose.ui.window.TrayState,2
com.arkivanov.decompose.DefaultComponentContext,8
com.arkivanov.essenty.lifecycle.LifecycleRegistry,8
com.arkivanov.essenty.lifecycle.resume,4
com.arkivanov.mvikotlin.main.store.DefaultStoreFactory,10
com.arkivanov.decompose.value.Value,24
com.arkivanov.decompose.value.ValueObserver,4
kotlin.math.sqrt,104
org.jetbrains.kotlin.gradle.targets.js.nodejs.NodeJsRootExtension,16
